URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,,,,,,,,,,,,,,
#'Structural' character state images,,,,,,,,,,,,,,,,,,,,,,,,,
resources/ReferenceImages/folded.jpeg,,,100%,image-local,,,,BudShoot,Folded,,,,,,,,,,,,,,,,
resources/ReferenceImages/rolledbud.jpeg,,,100%,image-local,,,,BudShoot,Rolled,,,,,,,,,,,,,,,,
resources/ReferenceImages/sheathAll.jpeg,,,100%,image-local,,,,SheathMargins,,,,,,,,,,,,,,,,,
resources/ReferenceImages/auricles.jpeg,,,100%,image-local,,,,Auricles,,,,,,,,,,,,,,,,,
resources/ReferenceImages/Collar3.jpeg,,,100%,image-local,,,,CollarType,,,,,,,,,,,,,,,,,
resources/ReferenceImages/Collar3.jpeg,,,100%,image-local,,,,CollarExtra,,,,,,,,,,,,,,,,,
resources/ReferenceImages/collarhairy.jpeg,,,100%,image-local,,,,CollarTexture,,,,,,,,,,,,,,,,,
resources/ReferenceImages/liguletypes.jpeg,,,100%,image-local,,,,LiguleType,,,,,,,,,,,,,,,,,
resources/ReferenceImages/liguleshapes.jpeg,,,100%,image-local,,,,LiguleShape,,,,,,,,,,,,,,,,,
resources/ReferenceImages/ligulemargins.jpeg,,,100%,image-local,,,,LiguleMargins,,,,,,,,,,,,,,,,,
resources/ReferenceImages/leafblade.jpeg,,,100%,image-local,,,,BladeShape,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#taxon pictures,,,,,,,,,,,,,,,,,,,,,,,,,
resources/ReferenceImages/PlantID/SlenderWheatgrass/one.jpeg,,,,,,,Agropyron trachycaulus (prev. trachycaulum),,,,,,,,,,,,,,,,,,
resources/ReferenceImages/PlantID/SlenderWheatgrass/two.PNG,,,,,,,Agropyron trachycaulus (prev. trachycaulum),,,,,,,,,,,,,,,,,,
resources/ReferenceImages/PlantID/SlenderWheatgrass/three.jpeg,,,,,,,Agropyron trachycaulus (prev. trachycaulum),,,,,,,,,,,,,,,,,,
