Character,CharacterState,CharacterStateTranslation,StateGroup,StateHelp,StateHelpShort,,,,,,,,,,,,,,,,,,,,
GrowthForm,Bunch,,,,,,,,,,,,,,,,,,,,,,,,
GrowthForm,Rhizomatous,,,,,,,,,,,,,,,,,,,,,,,,
GrowthForm,Stoloniferous,,,,,,,,,,,,,,,,,,,,,,,,
PlantHeight,,,,Inches,Inches,,,,,,,,,,,,,,,,,,,,
PromWhiteMidrib,Y,,,,,,,,,,,,,,,,,,,,,,,,
BlueGrayTint,Blue,,,,,,,,,,,,,,,,,,,,,,,,
BlueGrayTint,Gray,,,,,,,,,,,,,,,,,,,,,,,,
FuzzyMonster,Y,,,,,,,,,,,,,,,,,,,,,,,,
LeafDistinctive,Heart-shaped leaves,,,,,,,,,,,,,,,,,,,,,,,,
LeafDistinctive,Boat-shaped tip,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Dark green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Light green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Mid green,,Green,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Blue-green,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Gray-blue,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Reddish-orange-brown,,,"Includes ""reddish-purple""",,,,,,,,,,,,,,,,,,,,,
LeafColor,Gray-green,,,,,,,,,,,,,,,,,,,,,,,,
LeafColor,Yellow-green,,,,,,,,,,,,,,,,,,,,,,,,
BudShoot,Folded,,,The bud-shoot is folded.,,,,,,,,,,,,,,,,,,,,,
BudShoot,Rolled,,,The bud-shoot is rolled.,,,,,,,,,,,,,,,,,,,,,
SheathMargins,Open,,,,,,,,,,,,,,,,,,,,,,,,
SheathMargins,"Split, margins overlapping",,,,,,,,,,,,,,,,,,,,,,,,
SheathMargins,Closed to near top,,,,,,,,,,,,,,,,,,,,,,,,
SheathHairs,None,,,,,,,,,,,,,,,,,,,,,,,,
